Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
METV,Roundhill Ball Metaverse ETF,Equity,"$357,888,000",16.25%,"186,631",$13.38,-0.45%,No,False,4.86%,1.98%,45.16%,-3.47%,N/A,"-$166,330,312.50","-$3,696,495.00","-$8,524,770.00","-$203,711,440.00","$535,011,875.00","$644,506,379.93",Technology Equities,2021-06-30,0.59%,N/A,$0.02,2023-12-27,$0.02,0.14%,0.00,1.38,40,49.71%,40%,20%,1099,$12.13,$13.43,$13.32,$13.48,60.19,A,B,N/A,C+,N/A,N/A,6.39,41.38%,44.99%,17.92,2.77%,4.81%
GINN,Innovate Equity ETF,Equity,"$353,808,000",14.21%,"9,578",$59.95,-0.81%,No,False,1.91%,1.54%,30.97%,-0.45%,N/A,"-$52,585,500.00",$0.00,"-$8,684,500.00","-$52,585,500.00","-$95,405,000.00","$601,500.00",Technology Equities,2020-11-06,0.52%,N/A,$0.53,2023-12-26,$0.53,0.88%,20.53,1.07,475,15.27%,40%,20%,1099,$56.07,$60.76,$59.80,$60.24,59.53,B,B+,N/A,A-,A-,N/A,6.3,10.22%,42.85%,37.87,7.16%,9.56%
CLOU,Global X Cloud Computing ETF,Equity,"$350,108,000",-10.33%,"211,158",$20.32,-0.49%,No,False,2.06%,0.79%,10.31%,-12.55%,7.01%,"-$201,111,819.52","-$84,139.08","-$33,670,030.18","-$215,938,171.73","-$549,862,924.52","-$279,322,904.84",Technology Equities,2019-04-12,0.68%,N/A,$0.00,2021-12-30,$0.47,0.00%,35.33,0.98,36,45.65%,40%,20%,1099,$19.00,$20.67,N/A,N/A,57.86,A,B-,A,B-,C,N/A,7.03,63.50%,70.87%,71.41,2.08%,7.17%
CWEB,Direxion Daily CSI China Internet Index Bull 2x Shares,Equity,"$349,248,000",2.84%,"436,189",$33.86,-5.13%,No,2x,27.65%,20.37%,2.67%,-43.16%,-30.33%,"-$56,580,450.00","-$1,448,350.00","-$9,293,650.00","-$39,194,400.00","$535,762,068.67","$847,271,418.67",Leveraged Equities,2016-11-02,1.28%,N/A,$0.85,2024-09-24,$0.09,2.38%,0.03,1.09,2,100.00%,40%,20%,1099,$22.11,$32.53,$33.21,$34.40,63.77,A-,C,N/A,C,C,N/A,5.08,5.92%,23.59%,18.94,0.00%,0.26%
PSCT,Invesco S&P SmallCap Information Technology ETF,Equity,"$314,840,000",-3.64%,"25,331",$46.49,-1.17%,No,False,1.13%,-3.35%,8.93%,-1.32%,10.01%,"-$8,427,210.00","-$1,289,660.00","-$759,290.00","-$15,390,620.00","-$114,064,624.59","-$118,948,604.59",Technology Equities,2010-04-07,0.29%,N/A,$0.02,2024-06-24,$0.00,0.04%,16.41,1.22,67,32.75%,40%,20%,1099,$43.59,$48.34,$46.30,$46.87,51.08,B-,A,C,A,B-,A-,6.23,38.25%,41.49%,28.16,1.29%,7.36%
IETC, iShares U.S. Tech Independence Focused ETF,Equity,"$305,699,000",25.65%,"17,817",$78.19,-0.22%,No,False,2.83%,2.80%,49.14%,11.01%,22.73%,"$74,778,714.80",$0.00,"$3,834,488.10","$80,572,273.65","$94,793,777.05","$169,292,172.05",Technology Equities,2018-03-21,0.18%,N/A,$0.46,2024-06-11,$0.09,0.59%,29.18,1.12,125,55.75%,40%,20%,1099,$71.61,$79.37,N/A,N/A,60.81,B-,A,A-,B+,B+,N/A,7.07,65.53%,72.96%,19.31,14.66%,6.20%
IPAY,Amplify Mobile Payments ETF,Equity,"$297,369,000",10.16%,"23,638",$51.12,-2.05%,No,False,-0.91%,1.39%,31.76%,-10.48%,1.86%,"-$109,855,000.00",$0.00,"-$16,000.00","-$153,373,000.00","-$524,546,000.00","-$368,648,000.00",Technology Equities,2015-07-15,0.75%,N/A,$0.05,2024-03-26,$0.01,0.10%,0.02,1.25,37,53.44%,40%,20%,1099,$48.94,$53.14,$50.81,$51.71,54.38,B+,C+,C,B,C,B-,6.08,34.10%,38.12%,4.45,1.08%,0.64%
QTUM,Defiance Quantum ETF,Equity,"$284,602,000",14.17%,"44,028",$61.72,-0.48%,No,False,3.14%,-0.93%,32.08%,6.49%,20.02%,"$51,187,000.00",$0.00,"$3,085,000.00","$61,415,000.00","$115,034,500.00","$208,184,000.00",Technology Equities,2018-09-04,0.40%,N/A,$0.54,2024-06-26,$0.20,0.87%,0.04,1.15,72,18.42%,40%,20%,1099,$57.60,$63.00,$61.48,$62.06,53.76,B-,A-,B,A,A-,N/A,7.26,75.02%,80.24%,33.97,12.18%,3.72%
TDV,ProShares S&P Technology Dividend Aristocrats ETF,Equity,"$267,195,000",9.65%,"11,842",$75.85,-0.84%,No,False,0.82%,0.06%,24.31%,8.44%,N/A,"-$30,772,606.46","-$6,017,088.00","-$6,017,088.00","$7,968,370.63","$102,375,082.40","$173,620,013.40",Technology Equities,2019-11-05,0.45%,E*TRADE,$0.88,2024-06-26,$0.24,1.15%,0.03,1.05,36,32.02%,40%,20%,1099,$72.48,$77.55,$75.59,$76.21,53.83,B-,A-,B,A,A,A+,7.15,70.88%,76.03%,25.94,3.05%,4.42%
SNSR,Global X Internet of Things ETF,Equity,"$244,870,000",-2.78%,"22,115",$34.26,-0.84%,No,False,1.75%,-1.89%,14.67%,-2.74%,11.74%,"-$53,192,812.73","-$31,660.01","-$2,409,151.18","-$70,429,417.69","-$181,313,097.67","$53,217,140.24",Technology Equities,2016-09-12,0.68%,N/A,$0.22,2024-06-27,$0.07,0.64%,20.66,1.24,55,42.52%,40%,20%,1099,$32.47,$35.21,$34.13,$34.48,50.57,B+,C+,A-,A,B+,B,7.35,78.62%,82.93%,27.29,2.06%,8.82%
