Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
PXE,Invesco Energy Exploration & Production ETF,Equity,"$112,791,000",-2.28%,"37,268",$29.69,-2.30%,No,False,-1.72%,-6.34%,-4.59%,21.70%,17.51%,"-$20,593,320.00","-$1,840,560.00","-$4,476,300.00","-$52,882,610.00","-$25,419,130.00","$19,564,460.00",Energy Equities,2005-10-26,0.63%,N/A,$0.81,2024-09-23,$0.20,2.65%,4.80,1.83,32,45.81%,40%,20%,1099,$28.30,$32.00,$29.43,$30.17,42.37,B,C+,A+,B+,C+,B-,5.79,12.44%,32.63%,362.03,0.00%,0.41%
PBD,Invesco Global Clean Energy ETF,Equity,"$106,214,000",-14.83%,"28,828",$13.44,-2.25%,No,False,0.74%,-1.58%,-9.46%,-20.68%,3.41%,"-$23,894,900.00",$0.00,"-$2,613,400.00","-$34,192,600.00","-$139,498,150.00","$203,396,600.00",Alternative Energy Equities,2007-06-13,0.75%,N/A,$0.36,2024-09-23,$0.07,2.64%,-44.25,1.32,112,11.57%,40%,20%,1099,$12.56,$13.87,$13.36,$13.60,51.64,A-,C+,A-,B+,B,A+,6.74,50.00%,57.84%,117.87,0.00%,39.10%
DIG,ProShares Ultra Energy,Equity,"$97,521,500",4.72%,"70,978",$37.99,-4.43%,No,2x,-1.07%,-6.91%,-10.02%,34.24%,8.95%,"-$16,747,820.74",$0.00,"-$1,767,910.00","-$22,388,757.31","-$265,968,933.98","-$223,157,711.19",Leveraged Equities,2007-01-30,0.95%,N/A,$0.77,2024-06-26,$0.31,1.94%,0.00,2.68,26,69.02%,40%,20%,1099,$35.07,$41.68,$37.39,$39.05,45.82,B+,B-,C,B,A,A-,6.5,49.70%,48.31%,304.37,0.00%,0.24%
FILL,iShares MSCI Global Energy Producers ETF,Equity,"$96,175,000",4.33%,"20,146",$24.75,-2.17%,No,False,0.63%,-3.68%,0.93%,18.27%,10.22%,"-$15,286,485.00",$0.00,"-$3,628,260.00","-$21,437,585.00","-$27,805,860.00","$4,360,495.00",Energy Equities,2012-01-31,0.39%,N/A,$1.01,2024-06-11,$0.41,4.00%,6.03,1.11,204,60.78%,40%,20%,1099,$23.57,$25.91,$24.61,$25.05,47.19,C+,A-,B-,A+,B,A+,6.28,19.90%,42.45%,334.96,1.29%,0.63%
PSCE,Invesco S&P SmallCap Energy ETF,Equity,"$89,712,000",-4.34%,"35,177",$49.17,-3.44%,No,False,-0.22%,-5.50%,-11.16%,14.48%,8.01%,"-$141,409,870.00","-$1,521,180.00","-$2,046,550.00","-$141,454,370.00","-$66,469,252.65","$18,303,567.35",Energy Equities,2010-04-07,0.29%,N/A,$0.96,2024-09-23,$0.28,1.96%,9.48,1.95,31,58.53%,40%,20%,1099,$45.18,$53.13,$48.65,$50.14,46.49,B-,A,A,C+,C,C+,4.74,5.97%,19.43%,555.73,3.99%,0.72%
AMUB,ETRACS Alerian MLP Index ETN Class B,Equity,"$85,357,600",12.89%,"1,194",$18.07,-0.28%,No,False,-0.15%,-0.29%,18.07%,17.08%,4.90%,$0.00,$0.00,$0.00,$0.00,"-$30,628,100.00","$28,468,813.30",MLPs,2015-10-08,0.80%,N/A,$0.00,2020-05-28,$0.23,0.00%,0.00,1.39,35,58.24%,40%,20%,1099,$17.47,$18.31,$18.07,$18.07,52.41,N/A,A-,N/A,N/A,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AMNA,ETRACS Alerian Midstream Energy Index ETN,Equity,"$81,711,400",22.33%,248,$47.92,-0.29%,No,False,1.16%,3.05%,28.00%,13.48%,N/A,"-$14,242,650.00","-$14,242,650.00","-$14,242,650.00","-$14,242,650.00","-$14,242,650.00","-$14,242,650.00",MLPs,2020-06-19,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.77,0,0.00%,40%,20%,1099,$45.97,$48.30,$47.87,$48.01,64.68,C,N/A,N/A,C,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AMTR,ETRACS Alerian Midstream Energy Total Return Index ETN,Equity,"$67,887,900",27.73%,819,$67.68,-0.29%,No,False,1.18%,3.11%,35.84%,20.26%,N/A,"-$13,409,060.00","-$13,409,060.00","-$13,409,060.00","-$13,409,060.00","-$13,409,060.00","-$13,409,060.00",MLPs,2020-10-20,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.82,0,0.00%,40%,20%,1099,$64.85,$68.19,N/A,N/A,64.80,C+,B-,N/A,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PXI,Invesco Dorsey Wright Energy Momentum ETF,Equity,"$65,837,100",-2.33%,"4,778",$43.18,-2.40%,No,False,0.89%,-4.68%,-3.93%,16.82%,12.73%,"-$36,129,770.00","-$2,189,140.00","-$2,189,140.00","-$49,901,740.00","-$55,711,270.00","-$19,727,950.00",Energy Equities,2006-10-12,0.60%,N/A,$0.64,2024-09-23,$0.22,1.49%,6.46,1.68,43,36.32%,40%,20%,1099,$40.32,$45.78,$42.86,$43.77,45.89,C+,B-,A,B+,B-,B+,5.63,10.45%,30.33%,380.36,1.71%,0.17%
USAI,Pacer American Energy Independence ETF,Equity,"$60,452,000",26.79%,"6,012",$35.47,-0.28%,No,False,1.17%,3.20%,35.65%,19.94%,15.22%,"$2,891,000.00",$0.00,$0.00,"$2,891,000.00","$20,048,500.00","$30,750,000.29",MLPs,2017-12-12,0.75%,N/A,$1.44,2024-08-22,$0.12,4.05%,0.05,1.39,27,62.46%,40%,20%,1099,$33.71,$35.72,$35.36,$35.61,63.45,N/A,B,N/A,N/A,A-,N/A,7.29,74.66%,81.02%,735.87,7.59%,0.00%
KWT,iShares MSCI Kuwait ETF,Equity,"$58,342,000",11.09%,"2,840",$32.65,0.49%,No,False,0.68%,-0.82%,11.24%,4.48%,N/A,"-$1,614,060.00",$0.00,$0.00,"-$1,614,060.00","$41,509,510.00","$52,250,750.00",Financials Equities,2020-09-01,0.74%,N/A,$1.49,2024-06-11,$1.48,4.56%,12.83,0.44,37,67.73%,40%,20%,1099,$32.32,$32.89,$32.65,$32.65,53.57,B-,C+,B+,C+,C+,B,4.66,0.00%,18.23%,244.17,0.00%,0.53%
EINC,VanEck Energy Income ETF,Equity,"$57,219,000",26.86%,"4,718",$86.20,0.13%,No,False,1.64%,3.70%,35.33%,20.71%,14.70%,"$6,324,562.50","-$4,590.00","-$4,590.00","$7,946,907.50","$16,621,827.50","$7,239,014.03",Energy Equities,2012-03-13,0.46%,N/A,$1.01,2024-02-01,$0.63,1.17%,15.00,1.31,31,59.67%,40%,20%,1099,$81.80,$86.43,$85.81,$86.77,64.18,B-,B,C,C,A+,N/A,7.52,93.15%,87.90%,718.02,5.83%,0.00%
PXJ,Invesco Oil & Gas Services ETF,Equity,"$54,172,100",3.36%,"54,697",$28.97,-3.27%,No,False,-0.08%,-4.83%,-3.19%,23.11%,6.92%,"-$46,316,930.00","-$6,294,540.00","-$31,007,120.00","$13,731,220.00","$28,029,968.87","$53,093,958.87",Energy Equities,2005-10-26,0.66%,N/A,$0.86,2024-09-23,$0.26,2.88%,29.84,1.76,31,43.95%,40%,20%,1099,$27.06,$30.89,$28.73,$29.39,45.91,B-,C,A,B,C+,C+,5.24,7.96%,25.30%,394.3,2.79%,0.56%
