Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
OUSA,ALPS O'Shares U.S. Quality Dividend ETF,"$816,485",17.08%,"31,669",$53.31,-0.45%,0.63%,2.11%,28.80%,9.46%,11.20%,"$6,501,250.00",$0.00,"-$5,259,000.00","$10,704,000.00","-$48,879,765.00","$12,273,090.00",Large Cap Growth Equities,2015-07-14,0.48%,N/A,$0.81,2024-09-19,$0.06,1.52%,0.04,0.85,102,43.73%,40%,20%,1099,$51.55,$53.93,$53.19,$53.51,61.87,B+,B+,B-,C+,A,A,B,6.85,64.66%,62.91%,66.84,7.60%,0.99%
PNQI,Invesco NASDAQ Internet ETF,"$801,323",19.63%,"59,452",$43.15,-0.39%,4.10%,5.97%,43.08%,-4.81%,10.55%,"-$30,001,600.00","-$1,278,120.00","-$9,678,500.00","$11,994,550.00","-$116,174,590.00","-$37,553,980.00",Large Cap Growth Equities,2008-06-12,0.60%,N/A,$0.00,2017-12-18,$0.03,0.00%,47.55,1.15,79,59.76%,40%,20%,1099,$39.14,$43.35,$43.06,$43.30,64.80,C+,B-,C+,B+,C,C,C+,5.81,28.11%,32.90%,13.84,8.94%,0.07%
TCHP,T. Rowe Price Blue Chip Growth ETF,"$775,024",28.08%,"123,134",$39.64,0.10%,2.83%,3.12%,47.61%,5.70%,N/A,"$164,498,205.35","$4,660,784.80","$34,954,402.02","$202,458,583.70","$390,785,351.08","$571,689,339.72",Large Cap Growth Equities,2020-08-04,0.57%,N/A,$0.00,2021-12-20,$0.01,0.00%,1.98,1.14,76,65.24%,40%,20%,1099,$36.65,$40.10,$39.56,$39.75,59.80,C+,B+,C+,N/A,C,C,N/A,6.71,50.03%,56.53%,24.12,9.88%,11.12%
SPUS,SP Funds S&P 500 Sharia Industry Exclusions ETF,"$760,339",22.06%,"166,645",$41.52,-0.12%,2.75%,2.80%,36.38%,11.98%,N/A,"$274,968,750.00","$12,252,045.00","$39,202,505.00","$307,818,052.50","$511,724,832.50","$589,891,105.00",Large Cap Growth Equities,2019-12-18,0.45%,N/A,$0.30,2024-08-27,$0.03,0.72%,0.03,0.99,229,54.00%,40%,20%,1099,$38.72,$41.89,$41.40,$41.63,59.76,B,B,B-,N/A,B-,B+,N/A,6.8,67.55%,60.91%,51.47,6.85%,10.15%
FPX,First Trust US Equity Opportunities ETF,"$732,318",14.80%,"18,645",$110.07,-0.04%,2.81%,7.83%,35.29%,-5.07%,8.05%,"-$114,071,950.00",$0.00,"-$10,223,500.00","-$173,074,850.00","-$895,306,500.00","-$870,750,600.00",Large Cap Growth Equities,2006-04-12,0.59%,N/A,$0.09,2024-03-21,$0.01,0.08%,11.59,1.09,101,46.29%,40%,20%,1099,$96.64,$112.30,$109.89,$110.43,66.73,C+,B+,C+,C,C,C+,B-,5.62,2.64%,30.23%,79.42,8.48%,11.47%
PFM,Invesco Dividend Achievers™ ETF,"$721,089",16.98%,"25,882",$46.08,-0.41%,0.58%,1.88%,28.33%,9.81%,11.61%,"-$6,282,620.00","$1,855,520.00","$16,453,010.00","-$35,776,270.00","-$81,758,070.00","$149,281,440.00",Large Cap Growth Equities,2005-09-15,0.52%,N/A,$0.75,2024-09-23,$0.17,1.63%,16.60,0.83,423,27.50%,40%,20%,1099,$44.60,$46.59,$45.96,$46.25,61.78,A-,B+,B-,B+,A,A,B+,6.77,54.89%,59.26%,130.2,8.32%,1.86%
TDVG,T. Rowe Price Dividend Growth ETF,"$709,094",15.87%,"70,757",$40.66,-0.34%,0.62%,0.62%,27.81%,8.50%,N/A,"$287,191,916.22","$1,224,820.08","$19,735,879.19","$304,406,033.26","$503,168,322.36","$577,711,442.16",Large Cap Growth Equities,2020-08-04,0.50%,N/A,$0.44,2024-06-26,$0.08,1.08%,2.26,0.87,104,27.51%,40%,20%,1099,$39.68,$41.09,$40.56,$40.81,58.29,B,B-,B-,N/A,A,C+,N/A,6.78,63.82%,59.84%,121.39,6.48%,2.86%
QQQJ,Invesco NASDAQ Next Gen 100 ETF,"$671,471",10.89%,"111,571",$29.72,-0.77%,1.62%,3.02%,23.57%,-3.94%,N/A,"-$84,226,410.00","-$3,853,720.00","-$6,399,940.00","-$113,361,890.00","-$319,708,530.00","$688,117,150.00",Large Cap Growth Equities,2020-10-13,0.15%,N/A,$0.25,2024-09-23,$0.05,0.82%,17.78,1.10,104,20.30%,40%,20%,1099,$27.73,$30.11,$29.62,$29.87,60.51,B,A-,A-,N/A,C+,C,N/A,6.79,95.10%,60.23%,125.99,4.76%,13.57%
KRMA,Global X Conscious Companies ETF,"$644,992",16.49%,"28,829",$38.76,-0.33%,1.68%,1.60%,32.14%,7.23%,13.16%,"-$56,767,909.56","-$50,403.69","-$36,997,105.79","-$49,022,651.31","-$35,706,766.59","$282,611,783.32",Large Cap Growth Equities,2016-07-11,0.43%,N/A,$0.38,2024-06-27,$0.14,0.98%,17.30,1.03,167,25.89%,40%,20%,1099,$36.98,$39.20,$38.68,$38.84,59.26,B,B,B,C+,B+,B,B,7.27,93.91%,80.42%,33.51,4.73%,7.38%
KOKU,Xtrackers MSCI Kokusai Equity ETF,"$608,748",18.43%,"1,235",$99.94,-0.21%,1.65%,1.85%,32.97%,8.43%,N/A,"-$13,329,720.00",$0.00,"-$1,969,620.00","-$31,753,850.00","-$299,661,750.00","$256,822,400.00",Large Cap Growth Equities,2020-04-08,0.09%,N/A,$1.59,2024-09-20,$0.42,1.59%,0.06,1.02,1215,24.95%,40%,20%,1099,$94.97,$100.91,$99.94,$99.94,60.28,B+,B-,A,N/A,A-,C+,N/A,6.95,35.26%,67.09%,96.09,10.36%,7.95%
XLSR,SPDR SSGA US Sector Rotation ETF,"$603,779",12.91%,"45,552",$51.38,-0.19%,1.55%,1.11%,25.77%,6.20%,12.60%,"$123,489,253.04","$2,059,034.31","$8,584,421.81","$199,934,819.41","$342,575,761.92","$461,978,205.79",Large Cap Growth Equities,2019-04-02,0.70%,N/A,$0.28,2024-09-24,$0.10,0.55%,0.05,0.94,7,100.00%,40%,20%,1099,$48.94,$52.03,$51.29,$51.51,56.59,B,B,C,N/A,A-,B+,N/A,6.78,63.90%,59.94%,53.58,6.17%,8.20%
SSUS,Day Hagan/Ned Davis Research Smart Sector ETF,"$601,626",15.77%,"40,032",$41.25,-0.29%,1.63%,2.31%,22.40%,6.78%,N/A,"-$96,787,750.00","-$6,187,000.00","-$7,145,250.00","-$44,898,750.00","$213,487,395.00","$448,993,755.00",Large Cap Growth Equities,2020-01-17,0.80%,N/A,$0.38,2023-12-27,$0.38,0.92%,0.05,0.79,14,94.82%,40%,20%,1099,$39.23,$41.70,N/A,N/A,60.01,B,B+,C,N/A,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HLAL,Wahed FTSE USA Shariah ETF,"$533,488",14.04%,"69,360",$51.79,-0.37%,1.73%,2.35%,26.35%,10.74%,16.99%,"$131,489,617.50","$1,336,545.00","$8,868,080.00","$149,892,110.00","$282,536,350.00","$384,906,417.50",Large Cap Growth Equities,2019-07-16,0.50%,N/A,$0.22,2024-06-27,$0.02,0.42%,0.05,1.05,204,53.53%,40%,20%,1099,$49.04,$52.43,$51.68,$51.92,58.49,B,B-,B-,N/A,B+,B,N/A,6.51,19.34%,48.38%,69.82,0.58%,3.07%
